DNAExtractionGroup	DNAExtractionBatch	SampleID	Donor	Condition	Replicate	TubePosition	DNAExtractionDate	PowerFecalLot	PowerFecalKit	DNAConcentration	X100ng.DNA	ExtractedBy	sample	Kit	Temperature
1	2	D04_OH_R1	D04	OH	R1	6	August 27, 2021	169031860	CD2 kit1, else kit 2	83.2	1.2	DylanRyan	D04.OH.R1	Omnigene	Hot
1	2	D02_ZH_R1	D02	ZH	R1	7	August 27, 2021	169031860	CD2 kit1, else kit 2	7.34	13.62	DylanRyan	D02.ZH.R1	Zymo	Hot
1	2	D10_ZH_R1	D10	ZH	R1	8	August 27, 2021	169031860	CD2 kit1, else kit 2	3.84	26.04	DylanRyan	D10.ZH.R1	Zymo	Hot
1	2	D05_OR_R1	D05	OR	R1	9	August 27, 2021	169031860	CD2 kit1, else kit 2	60	1.67	DylanRyan	D05.OR.R1	Omnigene	Room Temp
1	2	D03_NF_R1	D03	NF	R1	10	August 27, 2021	169031860	CD2 kit1, else kit 2	46.6	2.15	DylanRyan	D03.NF.R1	No Preservative	Frozen
1	2	D09_OR_R1	D09	OR	R1	11	August 27, 2021	169031860	CD2 kit1, else kit 2	57.4	1.74	DylanRyan	D09.OR.R1	Omnigene	Room Temp
1	2	D08_OH_R1	D08	OH	R1	12	August 27, 2021	169031860	CD2 kit1, else kit 2	100	1	DylanRyan	D08.OH.R1	Omnigene	Hot
1	2	D10_OF_R1	D10	OF	R1	14	August 27, 2021	169031860	CD2 kit1, else kit 2	28.4	3.52	DylanRyan	D10.OF.R1	Omnigene	Frozen
1	2	D06_OF_R1	D06	OF	R1	15	August 27, 2021	169031860	CD2 kit1, else kit 2	37.2	2.69	DylanRyan	D06.OF.R1	Omnigene	Frozen
1	2	D04_ZR_R1	D04	ZR	R1	16	August 27, 2021	169031860	CD2 kit1, else kit 2	9.08	11.01	DylanRyan	D04.ZR.R1	Zymo	Room Temp
1	2	D06_ZH_R1	D06	ZH	R1	17	August 27, 2021	169031860	CD2 kit1, else kit 2	6.06	16.5	DylanRyan	D06.ZH.R1	Zymo	Hot
1	2	D08_ZR_R1	D08	ZR	R1	18	August 27, 2021	169031860	CD2 kit1, else kit 2	10.5	9.52	DylanRyan	D08.ZR.R1	Zymo	Room Temp
1	2	D02_OF_R1	D02	OF	R1	19	August 27, 2021	169031860	CD2 kit1, else kit 2	42.6	2.35	DylanRyan	D02.OF.R1	Omnigene	Frozen
1	3	D03_OF_R1	D03	OF	R1	1	August 27, 2021	169031860	CD1 from kit2, else kit 1	41	2.44	Dylan	D03.OF.R1	Omnigene	Frozen
1	3	D07_OF_R1	D07	OF	R1	2	August 27, 2021	169031860	CD1 from kit2, else kit 1	85.8	1.17	Dylan	D07.OF.R1	Omnigene	Frozen
1	3	D03_ZH_R1	D03	ZH	R1	3	August 27, 2021	169031860	CD1 from kit2, else kit 1	5.2	19.23	Dylan	D03.ZH.R1	Zymo	Hot
1	3	D05_OH_R1	D05	OH	R1	4	August 27, 2021	169031860	CD1 from kit2, else kit 1	68.4	1.46	Dylan	D05.OH.R1	Omnigene	Hot
1	3	D04_NF_R1	D04	NF	R1	5	August 27, 2021	169031860	CD1 from kit2, else kit 1	104	0.96	Dylan	D04.NF.R1	No Preservative	Frozen
1	3	D08_NF_R1	D08	NF	R1	6	August 27, 2021	169031860	CD1 from kit2, else kit 1	100	1	Dylan	D08.NF.R1	No Preservative	Frozen
1	3	D01_ZR_R1	D01	ZR	R1	7	August 27, 2021	169031860	CD1 from kit2, else kit 1	9.32	10.73	Dylan	D01.ZR.R1	Zymo	Room Temp
